,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
231,232,-1.502516715499308e-05,-0.005271329476873764,-0.02737084616733032,-0.00019282297848896915,0.06335111311446667,FATIMA,48.28571428571429,51.714285714285715,22.87390029325513,23.167155425219942,22.58064516129032,12.316715542521994,9.384164222873899,7.038123167155425,2.6392961876832843,22.15909090909091,22.72727272727273,23.295454545454547,12.5,7.954545454545454,9.090909090909092,2.272727272727273,23.63636363636364,23.63636363636364,21.818181818181817,12.12121212121212,10.909090909090908,4.848484848484849,3.0303030303030303
232,233,-0.0377862428302465,-0.0015215202066640385,0.017546740225053647,-0.01194229169403214,0.059383072814046145,FATIMA,49.14285714285714,50.85714285714285,19.825072886297377,23.615160349854232,19.533527696793,13.994169096209912,10.495626822157435,8.746355685131196,3.7900874635568513,18.285714285714285,23.42857142857143,21.142857142857142,13.142857142857142,9.714285714285714,10.857142857142858,3.428571428571429,21.428571428571427,23.809523809523807,17.857142857142858,14.88095238095238,11.309523809523812,6.547619047619048,4.166666666666666
233,234,-0.04533722365615531,-0.00011222085063404726,-0.04986969912343042,0.002337934388209329,0.12472724098804222,FATIMA,55.14285714285714,44.85714285714285,20.175438596491226,22.807017543859647,21.345029239766077,15.497076023391811,9.649122807017543,7.309941520467835,3.2163742690058483,20.394736842105264,23.02631578947368,22.36842105263158,11.842105263157894,9.868421052631579,9.868421052631579,2.631578947368421,20.0,22.63157894736842,20.526315789473685,18.421052631578945,9.473684210526317,5.263157894736842,3.6842105263157885
234,235,-0.005297072346709328,-0.00950620322411035,-0.04595364082828984,0.00023772499972032207,0.09387900077190703,FATIMA,52.0,48.0,23.372781065088763,19.526627218934916,18.639053254437872,19.230769230769234,8.579881656804734,7.988165680473371,2.6627218934911245,22.29299363057325,18.471337579617835,20.382165605095548,21.656050955414013,7.0063694267515935,7.0063694267515935,3.1847133757961785,24.30939226519337,20.441988950276247,17.12707182320442,17.12707182320442,9.944751381215472,8.839779005524859,2.2099447513812147
235,236,-0.029596890954812174,-0.013966318677131755,-0.014414386954202552,0.008961365541415835,0.06326602148898886,FATIMA,45.714285714285715,54.28571428571429,18.768328445747798,21.114369501466275,20.234604105571847,14.369501466275661,10.557184750733137,11.143695014662757,3.812316715542522,17.934782608695652,23.369565217391305,19.565217391304348,10.326086956521738,11.956521739130435,11.956521739130435,4.891304347826087,19.745222929936308,18.471337579617835,21.019108280254773,19.10828025477707,8.917197452229301,10.191082802547774,2.5477707006369434
236,237,-0.041650455217492804,0.003459986437964805,0.013578709828028945,-0.004068610558377891,0.05709394488477826,FATIMA,49.14285714285714,50.85714285714285,23.837209302325586,16.569767441860467,18.023255813953487,18.313953488372096,11.627906976744184,8.13953488372093,3.4883720930232562,25.86206896551724,17.81609195402299,16.091954022988507,17.24137931034483,14.942528735632186,4.022988505747127,4.022988505747127,21.764705882352942,15.294117647058822,20.0,19.411764705882355,8.235294117647058,12.352941176470587,2.9411764705882346
237,238,-0.040254060320949955,-0.0084296973929081,-0.04955579537519339,-0.008429697392908093,0.12442072977190038,FATIMA,56.85714285714286,43.14285714285715,20.943952802359885,26.843657817109147,18.289085545722717,13.86430678466077,10.914454277286136,6.1946902654867255,2.949852507374631,22.068965517241377,21.379310344827584,18.620689655172416,11.724137931034482,14.482758620689655,7.586206896551723,4.137931034482759,20.103092783505154,30.927835051546392,18.041237113402058,15.463917525773196,8.24742268041237,5.154639175257731,2.061855670103093
238,239,-0.011310586751591009,-0.024414864585596427,0.008639921151777474,-0.00915921724063015,0.06840401235712734,FATIMA,49.14285714285714,50.85714285714285,24.778761061946906,20.648967551622423,19.469026548672566,16.519174041297937,9.43952802359882,7.079646017699115,2.0648967551622417,25.882352941176478,23.529411764705877,18.823529411764707,15.294117647058822,7.647058823529411,5.882352941176469,2.9411764705882346,23.66863905325444,17.75147928994083,20.118343195266274,17.75147928994083,11.242603550295858,8.284023668639055,1.183431952662722
239,240,-0.028535493399796913,-0.024162281916366657,0.009173359180282503,0.00103849349210745,0.057613311178805526,FATIMA,53.42857142857142,46.57142857142857,22.848664688427302,19.584569732937684,20.77151335311573,16.61721068249258,8.605341246290802,7.121661721068249,4.451038575667656,24.342105263157894,19.07894736842105,23.684210526315788,16.447368421052634,6.578947368421053,6.578947368421053,3.2894736842105265,21.621621621621625,20.0,18.37837837837838,16.756756756756758,10.27027027027027,7.5675675675675675,5.405405405405406
240,241,-0.010357212613120947,-0.008366066971939496,-0.010227001454024609,-0.004074524186722803,0.05305562186679397,FATIMA,50.85714285714285,49.14285714285714,21.15942028985507,22.608695652173914,20.57971014492753,15.942028985507244,8.115942028985506,8.985507246376812,2.608695652173913,24.117647058823533,25.294117647058826,20.588235294117645,12.352941176470587,7.0588235294117645,8.823529411764708,1.7647058823529411,18.285714285714285,20.0,20.57142857142857,19.428571428571427,9.142857142857142,9.142857142857142,3.428571428571429
241,242,0.0003978455135267428,-0.01989227567633737,0.003733627126943362,0.003917248133186439,0.04269188395152412,FATIMA,51.9607843137255,48.03921568627451,29.292929292929287,13.131313131313133,18.181818181818183,20.2020202020202,11.111111111111109,7.070707070707071,1.0101010101010102,36.95652173913043,6.521739130434782,19.565217391304348,17.391304347826086,8.695652173913043,10.869565217391305,0.0,22.641509433962263,18.867924528301888,16.9811320754717,22.641509433962263,13.20754716981132,3.7735849056603774,1.8867924528301887
242,243,-0.0237577841203944,-0.01302218474312403,-0.06521903649887562,0.00450830306175402,0.1127346047396644,MANZANARES,49.14285714285714,50.85714285714285,25.882352941176478,22.94117647058824,22.058823529411764,14.705882352941178,7.9411764705882355,5.0,1.4705882352941175,24.705882352941174,22.94117647058824,22.35294117647059,14.705882352941178,9.411764705882351,4.705882352941177,1.1764705882352942,27.058823529411764,22.94117647058824,21.764705882352942,14.705882352941178,6.4705882352941195,5.294117647058823,1.7647058823529411
